,losses,losses_d,losses_test,losses_test_d,mse,mse_test
0,0.46596580743789673,1.0978825092315674,0.466133177280426,1.0976682901382446,tensor(1.0110),tensor(1.0110)
1,0.46580982208251953,1.0977113246917725,0.46597838401794434,1.0974947214126587,tensor(1.0144),tensor(1.0144)
2,0.4656984210014343,1.097533941268921,0.4658249616622925,1.0973209142684937,tensor(1.0170),tensor(1.0170)
3,0.46559882164001465,1.0973498821258545,0.46567291021347046,1.097141146659851,tensor(1.0212),tensor(1.0212)
4,0.4654066562652588,1.0971741676330566,0.4655223488807678,1.096954107284546,tensor(1.0246),tensor(1.0246)
5,0.46533215045928955,1.0969969034194946,0.46537333726882935,1.0967870950698853,tensor(1.0281),tensor(1.0281)
6,0.46517395973205566,1.096825122833252,0.4652259349822998,1.0966176986694336,tensor(1.0334),tensor(1.0334)
7,0.4650609493255615,1.0966533422470093,0.465080201625824,1.096449851989746,tensor(1.0351),tensor(1.0351)
8,0.4648701548576355,1.0964869260787964,0.4649363160133362,1.0962765216827393,tensor(1.0419),tensor(1.0419)
9,0.4647805690765381,1.096320390701294,0.4647942781448364,1.0961331129074097,tensor(1.0484),tensor(1.0484)
10,0.46465015411376953,1.0961641073226929,0.4646543860435486,1.095958948135376,tensor(1.0504),tensor(1.0504)
11,0.46443670988082886,1.0960038900375366,0.4645165205001831,1.0958168506622314,tensor(1.0540),tensor(1.0540)
12,0.464290976524353,1.095850944519043,0.4643806219100952,1.0956624746322632,tensor(1.0604),tensor(1.0604)
13,0.4642443060874939,1.0957053899765015,0.46424686908721924,1.095525860786438,tensor(1.0628),tensor(1.0628)
14,0.4640653729438782,1.0955612659454346,0.4641151428222656,1.0953822135925293,tensor(1.0707),tensor(1.0707)
15,0.4639361500740051,1.0954151153564453,0.4639853835105896,1.0952506065368652,tensor(1.0745),tensor(1.0745)
16,0.4638189673423767,1.095275640487671,0.46385782957077026,1.0951175689697266,tensor(1.0799),tensor(1.0799)
17,0.4636814594268799,1.095150113105774,0.4637322425842285,1.094981074333191,tensor(1.0834),tensor(1.0834)
18,0.4635850787162781,1.0950270891189575,0.4636087417602539,1.09486985206604,tensor(1.0885),tensor(1.0885)
19,0.4634054899215698,1.094896912574768,0.46348702907562256,1.094740390777588,tensor(1.0919),tensor(1.0919)
20,0.46328020095825195,1.094774842262268,0.4633672833442688,1.0946216583251953,tensor(1.0992),tensor(1.0992)
21,0.46311795711517334,1.094669222831726,0.46324944496154785,1.0945231914520264,tensor(1.1038),tensor(1.1038)
22,0.4630563259124756,1.0945587158203125,0.4631332755088806,1.094417929649353,tensor(1.1071),tensor(1.1071)
23,0.46284228563308716,1.0944442749023438,0.4630187749862671,1.0943130254745483,tensor(1.1121),tensor(1.1121)
24,0.4627702832221985,1.0943483114242554,0.46290552616119385,1.0942083597183228,tensor(1.1077),tensor(1.1077)
25,0.462718665599823,1.0942453145980835,0.46279364824295044,1.0941158533096313,tensor(1.1128),tensor(1.1128)
